SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Glass Transition Temperature (°„C),¿¥‘¥
O=C([*])C(C)O[*],[*]OCC[*],[*]OCC[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,59.4,10.1007_s10570-017-1327-5_part_3.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,,,,51.35,10.1002_star.201900098_part_4.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,CCO[Si](OCC)(OCC)OCC,,,,45,10.4028_www.scientific.net_amr.239-242.855_part_1.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,OP(O)(O)=O,,,,59.7,10.1016_j.polymdegradstab.2016.03.018_part_2.txt_∂Œ1_Material1
[*]CCCC([*])C(OC)=O,,,,,67.5,10.1016_j.apsusc.2013.07.156_part_2.txt_∂Œ1_Material1
C(C)(C1=CC=C(OCC2CO2)C=C1)(C)C1=CC=C(OCC2CO2)C=C1,OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,,,100,10.1016_j.engfracmech.2018.06.044_part_1.txt_∂Œ1_Material2
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(C1=CC=C(C=C1)C(OCCCCOC(C2=CC=C(C=C2)C(OCCCCO[*])=O)=O)=O)=O,,,,70,10.1002_pcr2.10063_part_1.txt_∂Œ1_Material3
O=C(C(C[*])[*])N,[*]C([H])([H])C(O)([H])[*],[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[Ag+],,35,10.1016_j.carbpol.2020.117485_part_2.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],C=C(C)C(=O)OCCCC,,,,51.4,10.1002_pen.22096_part_2.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,,,,95.22,10.1007_s12221-013-0133-4_part_1.txt_∂Œ1_Material1
[*]O[C@@]([H])(C)C(O[C@](C)([H])C([*])=O)=O,[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,,,,60,10.1002_app.42857_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],C=C([CH3])C(=O)O[CH3],,,,62.3,10.1080_03602559.2015.1132464_part_4.txt_∂Œ1_Material6
C=C([CH3])C(=O)O[CH3],[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,,,,105.21,10.1177_0731684415577236_part_2.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,,,45,10.1016_j.compositesb.2018.08.106_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,66.1,10.1002_app.34980_part_2.txt_∂Œ1_Material1
CC(NC(C([*])C)=O)C(NC(C)C(NC(C)C(N[*])=O)=O)=O,[*]C([H])([H])C(O)([H])[*],C(CC=O)CC=O,,,85,10.1007_s12221-015-0761-y_part_2.txt_∂Œ1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,[*]C(C1=CC=CC=C1)CC2C(OC(C2[*])=O)=O,,,,49.78,10.1177_096369351502400603_part_1.txt_∂Œ1_Material1
CC(NC(C([*])C)=O)C(NC(C)C(NC(C)C(N[*])=O)=O)=O,[*]C([H])([H])C(O)([H])[*],C[N+](CCO)(CCO)[3H],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,85,10.1007_s12221-015-0761-y_part_2.txt_∂Œ1_Material3
O=C([*])C(C)O[*],[*]C(CCCCCO[*])=O,OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,,55,10.1680_jgrma.18.00006_part_9.txt_∂Œ1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,95,10.7569_jrm.2016.634106_part_1.txt_∂Œ1_Material3
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,,,83.5,10.1007_s13197-020-04908-2_part_2.txt_∂Œ1_Material4
C/C(C[*])=C/C[*],[*]CCCC(C(O)=O)[*],[*]C(CCCCCO[*])=O,,,23.1,10.1016_j.eurpolymj.2021.110488_part_1.txt_∂Œ1_Material2
O=C([*])C(C)O[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,,,47,10.1002_pc.26053_part_1.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],[*]C([H])([H])C(O)([H])[*],,,,42,10.1007_s11029-011-9236-4_part_1.txt_∂Œ1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[Al],,,,68,10.1002_app.47398_part_1.txt_∂Œ1_Material3
O=C([*])C(C)O[*],C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,O=C([*])C(C)O[*],,,57,10.1177_0021998317708020_part_2.txt_∂Œ1_Material1
[*]C(CCCCC(OCCCCOC(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O)=O)=O,OCC(O)CO,,,,50,10.1007_s10924-021-02223-1_part_1.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,OP(O)(O)=O,[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,,,43,10.3390_polym11071193_part_2.txt_∂Œ1_Material2
[*]C(C)C[*],[*]CCC(CCCCCC)C[*],[*]C(C)C[*],,,116.2,10.1002_pc.25203_part_2.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,O=[Si]=O,,,45.5,10.1002_pc.25026_part_2.txt_∂Œ1_Material2
O=C([*])C(C)O[*],[*]C(CCCCC(OCCCCO[*])=O)=O,OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,,58.93,10.1016_j.jmrt.2020.08.062_part_2.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,75,10.1007_s13197-020-04908-2_part_1.txt_∂Œ1_Material1
[*]C/C=C/CCC([*])C#N,[*]CC([*])Cl,,,,46,10.1007_s10973-019-09194-5_part_2.txt_∂Œ1_Material1
OP(O)(O)=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,O=[Si]=O,,,111,10.1002_masy.201400080_part_1.txt_∂Œ1_Material2
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,,,26,10.1016_j.carbpol.2013.03.039_part_1.txt_∂Œ1_Material1
O=C(O[*])CCCCCCCCCCN[*],[*]NCCCCCCCCCCCC([*])=O,,,,50,10.1515_polyeng-2014-0161_part_1.txt_∂Œ1_Material2
O=C([*])C(C)O[*],O=C(O[*])CCCCCCCCCCN[*],O=[Ti]=O,,,45,10.1002_pen.23692_part_1.txt_∂Œ1_Material1
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,O=C([*])CCCCCN[*],,,,109,10.1007_s10965-010-9540-z_part_2.txt_∂Œ1_Material1
[*]O[C@H](C)CC([*])=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,,,55,10.1016_j.ijbiomac.2019.03.227_part_3.txt_∂Œ1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,O=[Si]=O,O=[Al]O[Al]=O,,,126,10.1002_pc.25974_part_3.txt_∂Œ1_Material2
[*]CC(C#N)[*],OP(O)(O)=O,O=[Ti]=O,,,80,10.1016_j.progpolymsci.2011.07.001_part_4.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C(CCCCCO[*])=O,CC1(CC(CC(C)(C1)C)N=C=O)CN=C=O,,,62.4,10.1016_j.polymertesting.2018.07.023_part_4.txt_∂Œ1_Material1
[*]CCCCOCCCCOCCCCOCCCCO[*],CC1(CC(CC(C)(C1)C)N=C=O)CN=C=O,,,,57.8,10.1016_j.polymer.2021.123625_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C(CCCCC(OCCCCOC(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O)=O)=O,,,,60,10.1007_s10853-013-7431-5_part_1.txt_∂Œ1_Material1
O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,,,,143,10.1016_j.compstruct.2018.03.062_part_1.txt_∂Œ1_Material5
O=C([*])C(C)O[*],OCC(O)CO,,,,63,10.1002_app.32751_part_2.txt_∂Œ1_Material1
C/C(C[*])=C/C[*],OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,,,90,10.1016_j.polymer.2015.06.045_part_4.txt_∂Œ1_Material1
[*]CC([*])Cl,CC1=CC=C(C=C1N=C=O)N=C=O,,,,68.7,10.1002_vnl.21706_part_2.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,,,,6.9,10.1080_25740881.2020.1757105_part_2.txt_∂Œ1_Material2
O=C([*])C(C)O[*],C=C([CH3])C(=O)O[CH3],O=C([O-])[O-].[Ca+2],,,55,10.1002_app.46927_part_2.txt_∂Œ1_Material3
[*]CCC(CCCC(CCCC(C[*])C)C)C,[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,,,,60,10.1007_s10904-018-0931-7_part_2.txt_∂Œ1_Material1
[*]OCC[*],[*]CC(C)(C(OCCO)=O)[*],[Cu],,,18.2,10.1002_app.43501_part_2.txt_∂Œ1_Material2
[*]C(C)C[*],CCCCCCCCCCCCCCCCCCOC(CCC1=CC(C(C)(C)C)=C(C(C(C)(C)C)=C1)O)=O,,,,95,10.1002_app.36244_part_1.txt_∂Œ1_Material1
[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,O=C([*])C(C)O[*],,,,55,10.1016_j.jiec.2018.11.017_part_2.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],[*]OCC[*],[*]CC[*],,,85,10.1002_app.46481_part_1.txt_∂Œ1_Material3
[*]CC([*])Cl,O=[Si]=O,,,,87,10.4028_www.scientific.net_amr.488-489.633_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC([*])Cl,,,,80,10.1177_0040517519839934_part_1.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,C=C([CH3])C(=O)O[CH3],[*]OCC[*],,,58.8,10.1002_pc.21194_part_1.txt_∂Œ1_Material1
O=C(O)C([*])C[*],[*]C(CCCCC(OCCCCO[*])=O)=O,[*]CC(C1=CC=CC=C1)[*],,,110,10.1016_j.polymer.2016.12.043_part_1.txt_∂Œ1_Material2
O=C([*])C(C)O[*],[Ag+],,,,56.3,10.1007_s13726-019-00694-7_part_1.txt_∂Œ1_Material2
O=C([*])C(C)O[*],C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,,,60,10.3144_expresspolymlett.2020.59_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],O=C(O)C([*])C[*],,,,56.9,10.7569_jrm.2016.634126_part_1.txt_∂Œ1_Material1
[*]OCC[*],CC1=CC=C(C=C1N=C=O)N=C=O,[*]C1=CC=C([*])N1,,,40,10.1080_03602559.2015.1132436_part_9.txt_∂Œ1_Material2
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,OCC(O)CO,,,35,10.3390_coatings6040041_part_3.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],C=C(C)C(=O)OCC(O)COC1=CC=C(C(C2=CC=C(O)C=C2)(C)C)C=C1,[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,,93,10.1016_j.compositesb.2017.02.002_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],[Al],,,,115,10.1515_epoly-2022-0014_OA_part_2.txt_∂Œ1_Material2
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,,,,90.27,10.1016_j.foodchem.2019.125599_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]OC(CC(OC(CC([*])=O)CC)=O)C,[*]OCC[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,57,10.1016_j.foodhyd.2018.04.045_part_3.txt_∂Œ1_Material2
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,O=[Al]O[Al]=O,,,,126,10.1002_pc.25050_part_2.txt_∂Œ1_Material1
COC(C(C[*])([*])C)=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,,119,10.1021_ie402390j_part_2.txt_∂Œ1_Material1
[*]CC[*],O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[OH-],,,,114.88,10.1016_j.matdes.2011.12.004_part_1.txt_∂Œ1_Material1
[*]C(C=C1)=CC=C1S[*],,,,,121.7,10.5764_tcf.2012.24.4.281_OA_part_1.txt_∂Œ1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C([H])([H])C(O)([H])[*],O=C([*])C(C)O[*],,,57,10.1021_bm101227q_part_1.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],[Fe]12O[Fe]O[Fe](O2)O1,,,,64,10.1016_j.matchemphys.2016.11.028_part_1.txt_∂Œ1_Material1
O=C(C(C[*])[*])N,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,Cl[Ca]Cl,,,84.72,10.1002_app.39427_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(C)(C(OCCO)=O)[*],,,,37.8,10.3390_polym11040636_part_2.txt_∂Œ1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]OCC[*],,,,115,10.1007_s10965-020-02356-2_part_2.txt_∂Œ1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,,,,110,10.1016_j.foodhyd.2018.07.017_part_7.txt_∂Œ1_Material2
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]OCC[*],O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[OH-],,,50,10.1002_app.44187_part_2.txt_∂Œ1_Material2
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,FC(F)([*])C([H])([*])[H],C=C([CH3])C(=O)O[CH3],,,105,10.1039_c4ra03936j_part_3.txt_∂Œ1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,C(CC=O)CC=O,,,84.9,10.1007_s10570-015-0802-0_part_5.txt_∂Œ1_Material1
[*]CC(C1=CC=CC=C1)[*],C=C([CH3])C(=O)O[CH3],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,[Ag+],,105,10.3390_polym12051155_part_3.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,[C],,,,62,10.1007_s13726-014-0301-4_part_2.txt_∂Œ1_Material1
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,O=C(C(C[*])[*])N,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,94.5,10.1039_c3ta10639j_part_2.txt_∂Œ1_Material3
[*]CC([*])N1CCCC1=O,,,,,110,10.1208_s12249-018-1269-8_part_2.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]OCCCCOC(CCC([*])=O)=O,[*]OCC[*],,,57,10.1002_pat.1672_part_1.txt_∂Œ1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],,,,42,10.1002_mame.201700539_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],O=C(C1=CC=C(C([*])=O)C=C1)NC2=CCC(N[*])C=C2,,,,59,10.1515_epoly-2022-8112_OA_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]OCCCCOC(CCC([*])=O)=O,OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,,50.4,10.1016_j.polymer.2015.10.038_part_3.txt_∂Œ1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[H][Si]([H])([H])[H],,,,86,10.1007_s10570-015-0643-x_part_3.txt_∂Œ1_Material4
[*]CC(O)COC1=CC=C(C(C)(C2=CC=C(O[*])C=C2)C)C=C1,O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],,,,67.02,10.1016_j.compstruct.2018.03.097_part_2.txt_∂Œ1_Material1
OP(O)(O)=O,[*]C([H])([H])C(O)([H])[*],,,,75.1,10.1007_s00396-020-04773-7_part_2.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[*]C(C1=CC=CC=C1)CC2C(OC(C2[*])=O)=O,[*]CC(CC)([*])C(OCC1=CC=CC=C1)=O,[*]C(C1=CC=CC=C1)CC2C(OC(C2[*])=O)=O,,52,10.1007_s10965-018-1684-2_part_2.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]OCCCCOC(CCC([*])=O)=O,,,,60.8,10.1016_j.polymdegradstab.2016.11.022_part_6.txt_∂Œ1_Material1
O=C(O)C([*])C[*],,,,,54,10.1007_s00289-019-02860-6_part_3.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,O=[Si]=O,,,28.68,10.1108_03699421111095946_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]OC(CC(OC(CC([*])=O)CC)=O)C,,,,57,10.3144_expresspolymlett.2018.10_part_2.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,,70,10.1007_s00289-018-2582-9_part_1.txt_∂Œ1_Material1
[*]CC(C1=CC=CC=C1)[*],COC(C(C[*])([*])C)=O,C[Si](C)(C[*])O[*],,,74,10.1021_la2049037_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,,,,77.4,10.4028_www.scientific.net_amm.835.277_part_1.txt_∂Œ1_Material1
[*]OCCCCOC(CCC([*])=O)=O,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[H][O-],,,55,10.1016_j.polymertesting.2016.01.015_part_2.txt_∂Œ1_Material1
OP(O)(O)=O,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,,,,40,10.1038_s41598-020-58278-y_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C(C1=CC=C(C=C1)C(OCCCCOC(C2=CC=C(C=C2)C(OCCCCO[*])=O)=O)=O)=O,,,,53.5,10.1002_app.50443_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]CCCC([*])C(OC)=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,67.5,10.1002_pc.24254_part_2.txt_∂Œ1_Material3
[*]C(CCCCCO[*])=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,,30.7,10.1088_1748-6041_6_5_055010_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(C)C[*],,,,79.3,10.1002_vnl.21484_part_2.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]C(CCCCCO[*])=O,[*]OCC[*],,,57,10.1016_j.msea.2010.07.079_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,,,55.1,10.1007_s10570-018-2061-3_part_4.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,,82.8,10.1016_j.carbpol.2017.06.048_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,,,,61,10.1088_1757-899x_330_1_012032_part_2.txt_∂Œ1_Material1
C(C)(C1=CC=C(OCC2CO2)C=C1)(C)C1=CC=C(OCC2CO2)C=C1,[*]CCN[*],,,,80,10.1016_j.polymer.2014.08.021_part_3.txt_∂Œ1_Material1
O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*],O=[Si]=O,,,,112,10.1002_pen.24602_part_1.txt_∂Œ1_Material6
[*]CC[*],[*]OCC[*],O=C1C=CC(O1)=O.C=C,,,85.7,10.1002_app.42701_part_2.txt_∂Œ1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,[*]C([H])([H])C(O)([H])[*],,,77.3,10.1155_2011_543587_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],,,,79.3,10.1002_vnl.21753_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C/C=C/CCC([*])C#N,,,,59.46,10.1016_j.egypro.2016.05.035_part_1.txt_∂Œ1_Material2
