SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Melting Temperature (°„C),¿¥‘¥
[*]C(C)C[*],NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,167,10.1080_02773813.2018.1432655_part_1.txt_∂Œ1_Material1
OP(O)(O)=O,[*]CCCC(C(O)=O)[*],[*]CCCC(C(O)=O)[*],,,109.69,10.1002_vnl.21485_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CC[*],O=C([O-])[O-].[Ca+2],,,158,10.1088_1742-6596_1294_5_052020_part_2.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[*]NCCCCCCCCCCCC([*])=O,[Mg],,,220,10.1002_pen.25171_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,COC1=CC(/C=C/C=O)=CC(OC2=CC(C(C(OC3=CC=C(C=C3OC)C(C(CO)=O)O)CO)O)=CC=C2OC4=CC(C(C(COC5=CC=C(C=C5)C(C(CO)=O)O)=O)O)=CC=C4O)=C1,,,,14.6,10.4028_www.scientific.net_amr.1070-1072.100_part_1.txt_∂Œ1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,[*]CC([*])N1CCCC1=O,,,,134.25,10.1016_j.matdes.2013.11.029_part_1.txt_∂Œ1_Material1
[*]CC[*],O=[Si]=O.[Ca]=O,O=[Si]=O,[H]O[H],,150,10.1016_j.cemconres.2017.04.004_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C([H])([H])C(O)([H])[*],,,,147.7,10.4028_www.scientific.net_kem.773.10_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,[*]OCC[*],,,,62.38,10.1177_0885328216680152_part_2.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,230,10.1002_pen.24456_part_1.txt_∂Œ1_Material1
[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,OCC1OC(C(C(C1O)O[*])O)OC2C(C(C(OC2COS(=O)(O)=O)[*])NC(C)=O)O,O=[Ti]=O,,,220,10.1002_smll.201903948_part_8.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OP(O)(O)=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,120,10.1080_15583724.2020.1850475_part_7.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,O=C(O)C([*])C[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,O=C(O)C([*])C[*],220,10.3390_pr9050730_part_5.txt_∂Œ1_Material1
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,[C],,,,210.8,10.1515_polyeng-2013-0038_part_2.txt_∂Œ1_Material2
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,[*]OCCCCOC(CCC([*])=O)=O,,,,132.1,10.1016_j.matchemphys.2020.124183_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]CC[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,132.1,10.1177_8756087917691088_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,,59.3,10.3390_polym11071101_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CC([*])N1CCCC1=O,[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],,,168.2,10.1007_s11003-020-00338-9_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],C/C(C[*])=C/C[*],C/C(C[*])=C/C[*],O=C([O-])[O-].[Ca+2],,149.31,10.4028_www.scientific.net_amr.410.59_part_1.txt_∂Œ1_Material2
[*]OCCCCOC(CCC([*])=O)=O,[*]C(CCCCC(OCCCCO[*])=O)=O,[*]OCC[*],OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,105,10.1039_c2gc35875a_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]CCCC([*])OC(C)=O,,,162.3,10.1177_0095244312439491_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,,,,232,10.1080_03602550903532125_part_2.txt_∂Œ1_Material2
[*]C(C)C[*],[*]CC(CC[*])O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,148.45,10.3390_polym13050705_part_1.txt_∂Œ1_Material2
O=C([*])C(C)O[*],C/C(C[*])=C/C[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,CCCCCCCCCCCCCCCCCCOC(CCC1=CC(C(C)(C)C)=C(C(C(C)(C)C)=C1)O)=O,,175,10.1016_j.polymertesting.2014.07.004_part_1.txt_∂Œ1_Material1
[*]OCCCCOC(CCC([*])=O)=O,O=C([*])C(C)O[*],,,,113,10.3389_fmats.2020.00007_part_1.txt_∂Œ1_Material1
FC(F)([*])C([H])([*])[H],,,,,165.3,10.1007_s10570-015-0634-y_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],O=C(C1=CC=C(C([*])=O)C=C1)NC2=CCC(N[*])C=C2,,,,140,10.1016_j.compositesb.2013.08.003_part_1.txt_∂Œ1_Material1
[*]O[C@H](C)CC([*])=O,[*]C(CCCCCO[*])=O,[Fe]12O[Fe]O[Fe](O2)O1,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,172.5,10.1016_j.addma.2021.102146_part_2.txt_∂Œ1_Material1
[*]CC[*],O=C([O-])[O-].[Ca+2],,,,180,10.1016_j.indcrop.2019.111712_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]C/C=C/CCC([*])C#N,[*]C(C)C[*],,,161.3,10.1016_j.polymertesting.2013.01.005_part_2.txt_∂Œ1_Material1
[*]C(C=C1)=CC=C1S[*],O=C([*])CCCCCN[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,278.4,10.1007_s13233-020-8038-8_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C(CCCCC(OCCCCO[*])=O)=O,C=C(C(OCC1CO1)=O)C,OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,150,10.1016_j.polymer.2020.122591_part_8.txt_∂Œ1_Material1
O=C([*])C(C)O[*],C=C(C(OCC1CO1)=O)C,C=C(C(OCC1CO1)=O)C,,,145,10.1002_app.41518_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C(CCCCC(OCCCCO[*])=O)=O,[*]CCC(CCCCCC)C[*],,,148,10.3389_fmats.2020.00130_part_2.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]C(CCCCCO[*])=O,[*]C(CCCCCO[*])=O,,,57.8,10.1002_app.42381_part_1.txt_∂Œ1_Material1
[*]CC(C1=CC=CC=C1)C/C=C/C[*],[*]C(CCCCCO[*])=O,O=[Fe]O[Fe]=O,[Fe]12O[Fe]O[Fe](O2)O1,,63,10.1002_vnl.21848_part_3.txt_∂Œ1_Material1
[*]OCCCCOC(CCC([*])=O)=O,[H][O-],,,,113,10.1177_1528083718821876_part_1.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]C(CCCCCO[*])=O,,,,163.8,10.1016_j.polymer.2017.12.050_part_4.txt_∂Œ1_Material1
[*]CC[*],O=C([O-])[O-].[Ca+2],[*]CC[*],,,155.4,10.1007_s10965-017-1375-4_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,,,165,10.1016_j.compositesa.2019.05.003_part_2.txt_∂Œ1_Material1
O=C(O[*])CCCCCCCCCCN[*],OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,O=[Ti]=O,,,210,10.1016_j.indcrop.2016.02.007_part_3.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,OCC(O)CO,[H]O[H],150,10.1002_star.201100024_part_3.txt_∂Œ1_Material1
[*]C(C)C[*],[C],,,,165,10.1515_polyeng-2013-0038_part_2.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],,,249,10.1002_vnl.21753_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]C/C=C/CCC(C=C)CC([*])C1=CC=CC=C1,O=C([O-])[O-].[Ca+2],,,160,10.1002_pc.23973_part_1.txt_∂Œ1_Material1
[*]CC[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,,107,10.1177_0892705714554492_part_3.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CCCC([*])OC(C)=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,142.91,10.3390_polym13050705_part_1.txt_∂Œ1_Material1
[*]OCCCCOC(CCC([*])=O)=O,[*]OCCCCOC(CCC([*])=O)=O,[*]OCCCCOC(CCC([*])=O)=O,,,115,10.1021_acsomega.8b01675_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,,,,170,10.3390_ma9050351_part_1.txt_∂Œ1_Material1
[*]OCCCCOC(CCC([*])=O)=O,[H][Si]([H])([H])[H],,,,115,10.4028_www.scientific.net_msf.846.665_part_1.txt_∂Œ1_Material1
FC(F)([*])C([H])([*])[H],[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,C[Si](C)(C[*])O[*],C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,,170,10.1002_adfm.201903732_part_1.txt_∂Œ1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[Na+].[Cl-],OCC(O)CO,,57,10.1007_s00339-017-1068-1_part_1.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,OCC(O)CO,,,103,10.1002_masy.201800110_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[OH-],[*]OCC[*],[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],,165,10.1016_j.engreg.2020.08.002_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],[*]OCC[*],,,248.9,10.1080_00222348.2013.766075_part_3.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OCC(O)CO,,,194.7,10.1007_s10924-012-0419-4_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OP(O)(O)=O,[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,O=C([*])C(C)O[*],O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,165.3,10.1002_pen.24900_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C(CCCCCO[*])=O,[*]NC(C(O)=O)CCC([*])=O,O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[OH-],,130,10.3390_ijms16010564_part_3.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,[*]OCC[*],,,,70,10.1007_s10853-016-0689-7_part_3.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]C([H])([H])C(O)([H])[*],Cl[Ca]Cl,OCC(O)CO,,181,10.1002_pc.23517_part_2.txt_∂Œ1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]CC[*],C[N+](CCO)(CCO)[3H],,,135.4,10.1002_app.40751_part_2.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]C([H])([H])C(O)([H])[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,244.2,10.1515_ijfe-2015-0145_part_2.txt_∂Œ1_Material2
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[OH-],,,,175,10.1088_1757-899x_511_1_012008_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],O=C([*])CCCCCN[*],CCCCCCCCCCCCCCCCCCOC(CCC1=CC(C(C)(C)C)=C(C(C(C)(C)C)=C1)O)=O,,,219.8,10.4028_www.scientific.net_amr.476-478.763_part_1.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,,,,95.8,10.1002_jbm.b.31701_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CCC(CCCCCC)C[*],O=[Si]=O,,,160,10.3390_ma11081321_part_1.txt_∂Œ1_Material1
O=C(CCCCC(NCCCCCCCCCCN[*])=O)[*],O[Si](O)(O[Si](O)(O)O)O.[Al].[Al].O,,,,220,10.3390_polym12071503_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,183,10.1177_0307174x1504200709_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[*]CC[*],[Li]Cl,OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],,208.1,10.1002_pc.25070_part_1.txt_∂Œ1_Material1
[*]CC[*],O=C(O[Na])COCC(OC(C(C1O)O)[*])C1OC(C(C(C2O[*])O)O)OC2COCC(O[Na])=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,CCCC[Sn](CCCC)(OC(CCCCCCCCCCC)=O)OC(CCCCCCCCCCC)=O,,180,10.1007_s10924-016-0880-6_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],O=C1C([*])C(CC[*])C(O1)=O,,,,163.9,10.4028_www.scientific.net_kem.728.301_part_1.txt_∂Œ1_Material1
[*]C(CCCCC(OCCCCO[*])=O)=O,O=C([*])C(C)O[*],OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,,168,10.1021_acsomega.8b00823_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[OH-],,,59,10.4028_www.scientific.net_amr.1134.249_part_1.txt_∂Œ1_Material1
[*]NC(C)C(N1CCCC1C([*])=O)=O,[*]C(CCCCCO[*])=O,C(CC=O)CC=O,,,61,10.1299_jmmp.7.463_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,,,163.8,10.1002_pen.23243_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[*]C/C=C/CCC([*])C#N,,,,204,10.1002_pc.23936_part_2.txt_∂Œ1_Material1
[*]CC[*],[*]CC[*],[*]CC[*],,,133.1,10.1080_00222348.2012.660077_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,,,185,10.1080_15440478.2019.1612309_part_1.txt_∂Œ1_Material1
[*]OC(CC(OC(CC([*])=O)CC)=O)C,[*]C([H])([H])C(O)([H])[*],,,,170,10.1080_25740881.2021.1918162_part_1.txt_∂Œ1_Material1
[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,C[N+](CCO)(CCO)[3H],C[N+](CCO)(CCO)[3H],,,247.59,10.1016_j.msea.2009.08.026_part_1.txt_∂Œ1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,[*]C(C)C[*],,,,95.8,10.4028_www.scientific.net_amr.600.256_part_1.txt_∂Œ1_Material1
[*]CC[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]OCC[*],,,132.1,10.4028_www.scientific.net_msf.848.89_part_1.txt_∂Œ1_Material1
OP(O)(O)=O,[*]OCC[*],O=C=NC(C=C1)=CC=C1CC2=CC=C(C=C2)N=C=O,,,95.2,10.1002_mame.201400141_part_2.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,,71.9,10.1002_star.201500346_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]C(C=C1)=CC=C1S[*],CC(CC(C(C(O1)=O)CC1=O)[*])C[*],,,111.3,10.4028_www.scientific.net_amr.194-196.1506_part_1.txt_∂Œ1_Material1
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,Cl[Ca]Cl,[*]OC(C(C1O)O)OC(COC)C1OC(OC(C(C2O)OC3OC(C(C(C3OC)O)OC4OC(C(C(C4OC)O)[*])COC)CO)COC)C2OCC(OC)C,,,144,10.4103_2230-973x.119215_part_2.txt_∂Œ1_Material1
[*]CC[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OCC(O)CO,,,123.4,10.1515_chem-2019-0064_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]C(CCCCCO[*])=O,,,152.98,10.1002_app.48694_part_2.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,O=[Ti]=O,,,220,10.4028_www.scientific.net_kem.773.3_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],OP(O)(O)=O,[*]C(C)C[*],C[N+](CCO)(CCO)[3H],,162.3,10.1007_s10965-017-1289-1_part_2.txt_∂Œ1_Material2
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C([H])([H])C(O)([H])[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,174.4,10.1515_epoly.2012.12.1.386_part_2.txt_∂Œ1_Material1
[*]C(C=C1)=CC=C1S[*],[H][Si]([H])([H])[H],,,,280,10.1002_pc.23256_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[H]O[H],,,,167,10.3390_su11061670_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[Ag],,,,217.5,10.1007_s12221-018-7711-4_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[Ag+],[Ag],,,260,10.1007_s10854-024-14194-9_OA_part_1.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,O=C([*])C(C)O[*],OC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,OCC(O)CO,,150,10.1016_j.carbpol.2019.05.042_part_1.txt_∂Œ1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,,,,148.58,10.1002_pc.24760_part_1.txt_∂Œ1_Material1
[*]CC[*],C/C(C[*])=C/C[*],,,,100,10.1016_j.polymertesting.2011.06.006_part_2.txt_∂Œ1_Material1
OP(O)(O)=O,[*]OCCCCOC(CCC([*])=O)=O,,,,160,10.1021_acssuschemeng.5b00646_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],O=C(C1=CC=C(C([*])=O)C=C1)NC2=CCC(N[*])C=C2,,,,160.1,10.1016_j.compositesb.2013.04.065_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],CCO,,,,130,10.1002_app.38284_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]C/C=C/CCC([*])C#N,[C],O=C([O-])[O-].[Ca+2],,160,10.1177_096739111502300808_part_2.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,O=[Ti]=O,OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,,59,10.1007_s12033-018-0084-5_part_1.txt_∂Œ1_Material1
